filepath,category,split
graffiti_raw/2019-03-02 16.48.50 1991070573438738861_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-647.jpg,pothole,train
illegal_dumping_raw/trash120.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-930.jpg,pothole,train
pothole_raw/Pothole Dataset/img-785.jpg,pothole,train
graffiti_raw/2019-02-08 12.11.24 1974985864904050494_cargraffiti.jpg,graffiti,train
graffiti_raw/2019-10-26_20-44-20_UTC.jpg,graffiti,train
graffiti_raw/2019-06-01_04-22-44_UTC.jpg,graffiti,train
broken_streetlight_raw/WhatsApp Image 2024-03-05 at 21.24.33_afc1f914.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-35.jpg,pothole,train
broken_streetlight_raw/20240309_191915.jpg,broken_streetlight,train
broken_streetlight_raw/20240305_190911.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-514.jpg,pothole,train
pothole_raw/Pothole Dataset/img-608.jpg,pothole,train
cracked_sidewalk_raw/crack_with_moss_04.jpg,cracked_sidewalk,train
other_pool/n07920052_espresso.JPEG,other,train
graffiti_raw/2019-10-18_23-13-11_UTC.jpg,graffiti,train
other_pool/n01729322_hognose_snake.JPEG,other,train
illegal_dumping_raw/trash50.jpg,illegal_dumping,train
other_pool/n03485407_hand-held_computer.JPEG,other,train
pothole_raw/Pothole Dataset/img-146.jpg,pothole,train
other_pool/n01983481_American_lobster.JPEG,other,train
cracked_sidewalk_raw/pure_crack_25.jpg,cracked_sidewalk,train
graffiti_raw/2019-01-16 18.40.50 1958512042785536126_cargraffiti.jpg,graffiti,train
graffiti_raw/2019-10-25_20-53-58_UTC.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-700.jpg,pothole,train
pothole_raw/Pothole Dataset/img-275.jpg,pothole,train
other_pool/n03908714_pencil_sharpener.JPEG,other,train
pothole_raw/Pothole Dataset/img-548.jpg,pothole,train
illegal_dumping_raw/trash48.jpg,illegal_dumping,train
graffiti_raw/2018-11-09 05.45.27 1908837021658656915_cargraffiti.jpg,graffiti,train
cracked_sidewalk_raw/noncrack_09.jpg,cracked_sidewalk,train
other_pool/n02492035_capuchin.JPEG,other,train
graffiti_raw/2019-10-25_17-26-50_UTC.jpg,graffiti,train
cracked_sidewalk_raw/pure_crack_16.jpg,cracked_sidewalk,train
illegal_dumping_raw/trash31.jpg,illegal_dumping,train
graffiti_raw/2019-10-28_04-34-47_UTC.jpg,graffiti,train
other_pool/n04461696_tow_truck.JPEG,other,train
graffiti_raw/2019-10-28_17-31-46_UTC.jpg,graffiti,train
broken_streetlight_raw/20240305_193102.jpg,broken_streetlight,train
cracked_sidewalk_raw/like_crack_52.jpg,cracked_sidewalk,train
other_pool/n02442845_mink.JPEG,other,train
graffiti_raw/2019-02-24_21-03-17_UTC.jpg,graffiti,train
graffiti_raw/2019-10-20_13-13-57_UTC_4.jpg,graffiti,train
broken_streetlight_raw/1709693294383.jpg,broken_streetlight,train
graffiti_raw/2019-10-08_22-08-49_UTC_3.jpg,graffiti,train
broken_streetlight_raw/IMG-20240228-WA0006.jpg,broken_streetlight,train
illegal_dumping_raw/trash15.jpg,illegal_dumping,train
graffiti_raw/2019-04-03 10.49.56 2014052555693703673_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-264.jpg,pothole,train
broken_streetlight_raw/IMG-20240303-WA0079.jpg,broken_streetlight,train
graffiti_raw/2019-10-26_12-00-34_UTC_5.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-1240.jpg,pothole,train
pothole_raw/Pothole Dataset/img-455.jpg,pothole,train
broken_streetlight_raw/20240305_193053.jpg,broken_streetlight,train
graffiti_raw/2019-10-08_06-30-51_UTC_9.jpg,graffiti,train
broken_streetlight_raw/20240309_191711.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-7.jpg,pothole,train
graffiti_raw/2019-01-17 06.21.17 1958864586635781293_cargraffiti.jpg,graffiti,train
